-4618.8	1562.5	-4618.8	1937.5
-4318.8	1562.5	-4018.8	1937.5
-718.8	1462.5	-1118.8	1587.5
1681.2	1412.5	781.2	1587.5
2981.2	1387.5	1881.2	1462.5
4481.2	1362.5	4481.2	1462.5
5081.2	1337.5	4581.2	1412.5
5181.2	1287.5	5881.2	1412.5
5481.2	1237.5	5981.2	1387.5
5881.2	1237.5	6581.2	1387.5
6181.2	1287.5	6781.2	1362.5
6881.2	1287.5	6881.2	1362.5
