-4618.80	0.00	-4618.8	1287.5	-4618.8	1562.5	-4618.8	1937.5
0.00	0.00	-4318.8	1262.5	-4318.8	1562.5	-4018.8	1937.5
1.1	0.00	-2218.8	1262.5	-718.8	1462.5	-1118.8	1587.5
2.1	0.00	-2018.8	1237.5	1681.2	1412.5	781.2	1587.5
3.1	0.00	-1218.8	1237.5	2981.2	1387.5	1881.2	1462.5
4.1	0.00	-618.8	1162.5	4481.2	1362.5	4481.2	1462.5
5.1	0.00	-318.8	1162.5	5081.2	1337.5	4581.2	1412.5
6.1	0.00	-218.8	1137.5	5181.2	1287.5	5881.2	1412.5
7.1	0.00	2481.2	1137.5	5481.2	1237.5	5981.2	1387.5
8.1	0.00	2581.2	1112.5	5881.2	1237.5	6581.2	1387.5
9.1	0.00	3481.2	1112.5	6181.2	1287.5	6781.2	1362.5
10.1	0.00	3681.2	1087.5	6881.2	1287.5	6881.2	1362.5
11.1	0.00	4281.2	1087.5				
12.1	0.00	4481.2	1062.5				
13.1	0.00	5081.2	1062.5				
14.1	0.00	5181.2	1037.5				
15.1	0.00	6081.2	1037.5				
16.1	0.00	6181.2	1012.5				
6881.20	0.00	6881.2	1012.5								
